Driver,City,Distance_km_week,Efficiency_reported_km_per_l,Efficiency_applied_km_per_l,Fuel_L_derived,EF_kgCO2e_per_L,Base_kgCO2e,BF,Adjusted_kgCO2e,Status,Reason_Codes,GCaI_Version,Config_Hash_Full,Prev_Record_Hash,Record_Hash_Full
GHA_001,Accra,500.0,0.0,15.0,33.33,2.31,77.0,0.0,77.0,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,GENESIS,bba3dfd14cceba4870f38886dbdeed4f16d36deeaae14fd306647f9c153d277c
GHA_002,Accra,500.0,0.0,15.0,33.33,2.31,77.0,0.0,77.0,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,bba3dfd14cceba4870f38886dbdeed4f16d36deeaae14fd306647f9c153d277c,bcc35c0d2b712b64d95be0d34cea35d21a5efe747b0ae68cf20effcb9befef3a
GHA_003,Accra,500.0,0.0,15.0,33.33,2.31,77.0,0.0,77.0,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,bcc35c0d2b712b64d95be0d34cea35d21a5efe747b0ae68cf20effcb9befef3a,64b99cad45ad259e5d59f196004bed9fa7cb4063d222c4cdcf0aa2847c9a82c7
GHA_004,Adjiringanor,400.0,0.0,15.0,26.67,2.31,61.6,0.0,61.6,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,64b99cad45ad259e5d59f196004bed9fa7cb4063d222c4cdcf0aa2847c9a82c7,2abe12a10c3428bc09faca1ee5b251d17acd8ef2966364655026306075c11cd9
GHA_005,Accra - Kasoa,249.5,0.0,15.0,16.63,2.31,38.42,0.0,38.42,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,2abe12a10c3428bc09faca1ee5b251d17acd8ef2966364655026306075c11cd9,dde4e992a2896d143f5435914d06209be8af99cf47d78fe871b3ebb248a82540
GHA_006,Accra - Pokuase,149.5,0.0,15.0,9.97,2.31,23.02,0.1,25.33,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,dde4e992a2896d143f5435914d06209be8af99cf47d78fe871b3ebb248a82540,b6ab7e3f6d466004af06c4247a768af5aad06c29353afd98859023206045c344
GHA_007,East Legon,149.5,0.0,15.0,9.97,2.31,23.02,0.0,23.02,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,b6ab7e3f6d466004af06c4247a768af5aad06c29353afd98859023206045c344,5d5f2ebef5b2c3543e27d5b8f495fa21fad2b4b8f0ba6e1c0348ce4360962f38
GHA_008,Ashaiman,349.5,0.0,15.0,23.3,2.31,53.82,0.1,59.21,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,5d5f2ebef5b2c3543e27d5b8f495fa21fad2b4b8f0ba6e1c0348ce4360962f38,9a2fdf805e2c41f3de30dd0738a7a58e04f5a25d3523215d38d5bf771beec909
GHA_009,Accra,449.5,0.0,15.0,29.97,2.31,69.22,0.0,69.22,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,9a2fdf805e2c41f3de30dd0738a7a58e04f5a25d3523215d38d5bf771beec909,a74e1e80041ee8a34777baec1475bbea302493b23244a1fe905373d57dcb6171
GHA_010,Adenta,700.0,0.0,15.0,46.67,2.31,107.8,0.0,107.8,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,a74e1e80041ee8a34777baec1475bbea302493b23244a1fe905373d57dcb6171,9bf7bde7deed9d10a0b4b065b322ef8d22207b6ed8d4097ae66956f59c6d55de
GHA_011,Accra,700.0,0.0,15.0,46.67,2.31,107.8,0.0,107.8,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,9bf7bde7deed9d10a0b4b065b322ef8d22207b6ed8d4097ae66956f59c6d55de,d6a65ce24dd23c277b6237054bc981c4d7f19ff697e234834f21e74b4910837d
GHA_012,Accra,349.5,0.0,15.0,23.3,2.31,53.82,0.0,53.82,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,d6a65ce24dd23c277b6237054bc981c4d7f19ff697e234834f21e74b4910837d,03d412b0574c09cb6e88085f9d503f59457bf20a40ad6ae4b0407f5788d877bd
GHA_013,Accra,449.5,0.0,15.0,29.97,2.31,69.22,0.25,86.53,REVIEW,HIGH_BEHAVIOUR_INTENSITY,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,03d412b0574c09cb6e88085f9d503f59457bf20a40ad6ae4b0407f5788d877bd,34563d12fc333a3ea94d172a98579f6b19062a54550f2b7e223c7bfe8636feef
GHA_014,Accra,149.5,0.0,15.0,9.97,2.31,23.02,0.1,25.33,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,34563d12fc333a3ea94d172a98579f6b19062a54550f2b7e223c7bfe8636feef,575f5a079b1b4a15d8687be82bfe7867e074f4bc58b2c2335abd619de6cad634
GHA_015,Madina,700.0,0.0,15.0,46.67,2.31,107.8,0.1,118.58,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,575f5a079b1b4a15d8687be82bfe7867e074f4bc58b2c2335abd619de6cad634,157b5f9cb09cb6ec861174ea7f50afdfe83b62c934b610f2178c8f2c8159942d
GHA_016,"Accra, Oyarifa",449.5,0.0,15.0,29.97,2.31,69.22,0.25,86.53,REVIEW,HIGH_BEHAVIOUR_INTENSITY,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,157b5f9cb09cb6ec861174ea7f50afdfe83b62c934b610f2178c8f2c8159942d,6668033f8d63ad4d8d92f4c100b3dbc215cc4a39b4b293c08ef5bc0027869da7
GHA_017,"greater accra , dodowa",449.5,0.0,15.0,29.97,2.31,69.22,0.1,76.15,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,6668033f8d63ad4d8d92f4c100b3dbc215cc4a39b4b293c08ef5bc0027869da7,62e237274cedaaec5467b336e09a87677a42d2a05b96c274e94b967fa1843255
GHA_018,ACCRA,249.5,0.0,15.0,16.63,2.31,38.42,0.0,38.42,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,62e237274cedaaec5467b336e09a87677a42d2a05b96c274e94b967fa1843255,eeea1aa898be5fa19fdd6a1058fb42945307669cb5e86e93141a85cc24830cc4
GHA_019,Accra,700.0,0.0,15.0,46.67,2.31,107.8,0.15,123.97,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,eeea1aa898be5fa19fdd6a1058fb42945307669cb5e86e93141a85cc24830cc4,9cde654685cc6c40bd24df272ae3e1ee948b21f920d038d9d8fc490cb43a3837
GHA_020,Accra,149.5,0.0,15.0,9.97,2.31,23.02,0.0,23.02,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,9cde654685cc6c40bd24df272ae3e1ee948b21f920d038d9d8fc490cb43a3837,29275132cfa23b1f76a294476d798e7e3ae49b292fa64d9c6e814ee8a7e7931f
GHA_021,Tema-Ashaiman,99.0,0.0,15.0,6.6,2.31,15.25,0.25,19.06,REVIEW,HIGH_BEHAVIOUR_INTENSITY,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,29275132cfa23b1f76a294476d798e7e3ae49b292fa64d9c6e814ee8a7e7931f,9ebafe68a90e987d68330f6ebe1d2ddc2f6bd66c6f80af251a1fc23d7bb75edd
GHA_022,Kumasi,599.5,0.0,15.0,39.97,2.31,92.32,0.15,106.17,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,9ebafe68a90e987d68330f6ebe1d2ddc2f6bd66c6f80af251a1fc23d7bb75edd,8874453ecf394712e82dcf8a899ca58f110e4e56205286e6d3bd54a5f7695ba2
GHA_023,Greater Accra,149.5,0.0,15.0,9.97,2.31,23.02,0.1,25.33,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,8874453ecf394712e82dcf8a899ca58f110e4e56205286e6d3bd54a5f7695ba2,03ab9bee5e0627fb3305fce31cf59154646b66f3317ccde48d6b5e28eb3ba503
GHA_024,Kumasi,449.5,0.0,15.0,29.97,2.31,69.22,0.0,69.22,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,03ab9bee5e0627fb3305fce31cf59154646b66f3317ccde48d6b5e28eb3ba503,420e6a7fab278b85f3a4781c9a00806c4f360dec7d07d3d24b74f3b40b6c1113
GHA_025,Tema-Ashaiman,99.0,0.0,15.0,6.6,2.31,15.25,0.25,19.06,REVIEW,HIGH_BEHAVIOUR_INTENSITY,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,420e6a7fab278b85f3a4781c9a00806c4f360dec7d07d3d24b74f3b40b6c1113,b224b4392401730f97f2ae590d27d276a35cb5fda6a4b0b696f456e262462486
GHA_026,Accra tema,700.0,0.0,15.0,46.67,2.31,107.8,0.25,134.75,REVIEW,HIGH_BEHAVIOUR_INTENSITY,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,b224b4392401730f97f2ae590d27d276a35cb5fda6a4b0b696f456e262462486,808f056c8d795ba82a44df369a08846d9e7283e1c91939101d907ec1ed00541b
GHA_027,Accra,349.5,0.0,15.0,23.3,2.31,53.82,0.1,59.21,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,808f056c8d795ba82a44df369a08846d9e7283e1c91939101d907ec1ed00541b,52f6b0e9fc97151a99bb17216cda61ff7b70c543d6e29ab021feec1aaf6ef011
GHA_028,Kumasi,149.5,0.0,15.0,9.97,2.31,23.02,0.0,23.02,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,52f6b0e9fc97151a99bb17216cda61ff7b70c543d6e29ab021feec1aaf6ef011,d0895638cfbad08d19e07917825a3c3be85eed7cf146d9da53b3b4df46dfccbe
GHA_029,Nungua junction mall,99.0,0.0,15.0,6.6,2.31,15.25,0.0,15.25,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,d0895638cfbad08d19e07917825a3c3be85eed7cf146d9da53b3b4df46dfccbe,7e5bd6b355869a8986136c298848fc74dd23702d693d3b7929b11899d3edc563
GHA_030,Kumasi,449.5,0.0,15.0,29.97,2.31,69.22,0.15,79.61,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,7e5bd6b355869a8986136c298848fc74dd23702d693d3b7929b11899d3edc563,db24ec19e24c48a0cbf64c55ab7e5bd1f5dff661a78ea26fd95260facc77ca32
GHA_031,Accra Dansoman,449.5,0.0,15.0,29.97,2.31,69.22,0.0,69.22,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,db24ec19e24c48a0cbf64c55ab7e5bd1f5dff661a78ea26fd95260facc77ca32,a0c4bd032e4174278f5785602b6feb8e88f8e4705fa17b64f66ee23e11c800c2
